numero_aviso;fecha_creacion;tipo_carroceria;marca;linea;version;modelo;version_hechos;codigo_irs;nombre_irs;piezas_totales;piezas_cambio;estado_aviso
237305;2025-01-03 10:10:18.421101;pickup;VOLKSWAGEN;AMAROK;POWER PLUS 4X4 2.0 AUT;2016;maquinaria motoniveladora me choco en reversa causando danos en punta izqyierda de mi vehiculo - foco izquierdo quebrado tapa barros roto capo roto;02090112nndn;parachoque del.;13;13;ENTREGADO
237305;2025-01-03 10:10:18.421101;pickup;VOLKSWAGEN;AMAROK;POWER PLUS 4X4 2.0 AUT;2016;maquinaria motoniveladora me choco en reversa causando danos en punta izqyierda de mi vehiculo - foco izquierdo quebrado tapa barros roto capo roto;02030014nnnn;broche carroceria;13;13;ENTREGADO
237305;2025-01-03 10:10:18.421101;pickup;VOLKSWAGEN;AMAROK;POWER PLUS 4X4 2.0 AUT;2016;maquinaria motoniveladora me choco en reversa causando danos en punta izqyierda de mi vehiculo - foco izquierdo quebrado tapa barros roto capo roto;03040008nndn;ampolleta.;13;13;ENTREGADO
237305;2025-01-03 10:10:18.421101;pickup;VOLKSWAGEN;AMAROK;POWER PLUS 4X4 2.0 AUT;2016;maquinaria motoniveladora me choco en reversa causando danos en punta izqyierda de mi vehiculo - foco izquierdo quebrado tapa barros roto capo roto;02090129nndn;mascara del. central;13;13;ENTREGADO
237305;2025-01-03 10:10:18.421101;pickup;VOLKSWAGEN;AMAROK;POWER PLUS 4X4 2.0 AUT;2016;maquinaria motoniveladora me choco en reversa causando danos en punta izqyierda de mi vehiculo - foco izquierdo quebrado tapa barros roto capo roto;02010229nndn;tapa de neblinero delantero izquierdo;13;13;ENTREGADO
237305;2025-01-03 10:10:18.421101;pickup;VOLKSWAGEN;AMAROK;POWER PLUS 4X4 2.0 AUT;2016;maquinaria motoniveladora me choco en reversa causando danos en punta izqyierda de mi vehiculo - foco izquierdo quebrado tapa barros roto capo roto;02010228nndn;tapa de neblinero delantero derecho;13;13;ENTREGADO
237305;2025-01-03 10:10:18.421101;pickup;VOLKSWAGEN;AMAROK;POWER PLUS 4X4 2.0 AUT;2016;maquinaria motoniveladora me choco en reversa causando danos en punta izqyierda de mi vehiculo - foco izquierdo quebrado tapa barros roto capo roto;02090074nidn;guardafango plastico delantero izquierdo;13;13;ENTREGADO
237305;2025-01-03 10:10:18.421101;pickup;VOLKSWAGEN;AMAROK;POWER PLUS 4X4 2.0 AUT;2016;maquinaria motoniveladora me choco en reversa causando danos en punta izqyierda de mi vehiculo - foco izquierdo quebrado tapa barros roto capo roto;02090073nddn;guardafango plastico delantero derecho;13;13;ENTREGADO
237305;2025-01-03 10:10:18.421101;pickup;VOLKSWAGEN;AMAROK;POWER PLUS 4X4 2.0 AUT;2016;maquinaria motoniveladora me choco en reversa causando danos en punta izqyierda de mi vehiculo - foco izquierdo quebrado tapa barros roto capo roto;02090067nidn;tapabarro delantero izquierdo;13;13;ENTREGADO
237305;2025-01-03 10:10:18.421101;pickup;VOLKSWAGEN;AMAROK;POWER PLUS 4X4 2.0 AUT;2016;maquinaria motoniveladora me choco en reversa causando danos en punta izqyierda de mi vehiculo - foco izquierdo quebrado tapa barros roto capo roto;02090244nidn;bafle inferior tapabarro izquierdo;13;13;ENTREGADO
237305;2025-01-03 10:10:18.421101;pickup;VOLKSWAGEN;AMAROK;POWER PLUS 4X4 2.0 AUT;2016;maquinaria motoniveladora me choco en reversa causando danos en punta izqyierda de mi vehiculo - foco izquierdo quebrado tapa barros roto capo roto;02090200nndn;capot;13;13;ENTREGADO
237305;2025-01-03 10:10:18.421101;pickup;VOLKSWAGEN;AMAROK;POWER PLUS 4X4 2.0 AUT;2016;maquinaria motoniveladora me choco en reversa causando danos en punta izqyierda de mi vehiculo - foco izquierdo quebrado tapa barros roto capo roto;03040016nidn;optico del. izq.;13;13;ENTREGADO
237305;2025-01-03 10:10:18.421101;pickup;VOLKSWAGEN;AMAROK;POWER PLUS 4X4 2.0 AUT;2016;maquinaria motoniveladora me choco en reversa causando danos en punta izqyierda de mi vehiculo - foco izquierdo quebrado tapa barros roto capo roto;02090081nidn;guia parachoque delantero izquierdo;13;13;ENTREGADO
256271;2025-02-21 08:30:17.857158;pickup;KIA;SORENTO;2.4 AUT;2010;entrando al estacionamiento lo raye por el costado puerta delantera y trasera d erecha. y del otro lado tambien resenta danos.;03040043ninn;luz intermitente espejo izquierdo;10;10;OBJETADO
256271;2025-02-21 08:30:17.857158;pickup;KIA;SORENTO;2.4 AUT;2010;entrando al estacionamiento lo raye por el costado puerta delantera y trasera d erecha. y del otro lado tambien resenta danos.;02030021endn;broches moldura;10;10;OBJETADO
256271;2025-02-21 08:30:17.857158;pickup;KIA;SORENTO;2.4 AUT;2010;entrando al estacionamiento lo raye por el costado puerta delantera y trasera d erecha. y del otro lado tambien resenta danos.;02090144nidn;puerta delantero izquierdo;10;10;OBJETADO
